row_id,province,district,whole_province,basis_type,multiplier_ratio,effective_start_date,effective_end_date,legal_reference,source_reference,verified_by,verified_date,notes
M-001,ยะลา,,yes,MARTIAL_LAW,200.00,2004-01-26,2004-09-30,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: docs/multiplier_phase0_validation_pack.md,TEST_SEED,2026-07-13,TEST seed — whole province
M-002,ปัตตานี,,yes,MARTIAL_LAW,200.00,2004-01-26,2004-09-30,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: docs/multiplier_phase0_validation_pack.md,TEST_SEED,2026-07-13,TEST seed — whole province
M-003,นราธิวาส,,yes,MARTIAL_LAW,200.00,2004-01-26,2004-09-30,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: docs/multiplier_phase0_validation_pack.md,TEST_SEED,2026-07-13,TEST seed — whole province
M-004,สงขลา,เทพา,no,MARTIAL_LAW,200.00,2004-01-26,2004-09-30,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: docs/multiplier_phase0_validation_pack.md,TEST_SEED,2026-07-13,TEST seed — district
M-005,สงขลา,สะบ้าย้อย,no,MARTIAL_LAW,200.00,2004-01-26,2004-09-30,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: docs/multiplier_phase0_validation_pack.md,TEST_SEED,2026-07-13,TEST seed — district
M-006,สงขลา,นาทวี,no,MARTIAL_LAW,200.00,2004-01-26,2004-09-30,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: docs/multiplier_phase0_validation_pack.md,TEST_SEED,2026-07-13,TEST seed — district
M-007,สงขลา,จะนะ,no,MARTIAL_LAW,200.00,2004-01-26,2004-09-30,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: docs/multiplier_phase0_validation_pack.md,TEST_SEED,2026-07-13,TEST seed — district
M-008,สตูล,ควนโดน,no,MARTIAL_LAW,200.00,2004-01-26,2004-09-30,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: provisional Satun district list,TEST_SEED,2026-07-13,TEST seed — replace after HR confirm
M-009,สตูล,ควนกาหลง,no,MARTIAL_LAW,200.00,2004-01-26,2004-09-30,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: provisional Satun district list,TEST_SEED,2026-07-13,TEST seed — replace after HR confirm
M-010,สตูล,ท่าแพ,no,MARTIAL_LAW,200.00,2004-01-26,2004-09-30,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: provisional Satun district list,TEST_SEED,2026-07-13,TEST seed — replace after HR confirm
M-011,สตูล,มะนัง,no,MARTIAL_LAW,200.00,2004-01-26,2004-09-30,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: provisional Satun district list,TEST_SEED,2026-07-13,TEST seed — replace after HR confirm
E-001,ยะลา,,yes,EMERGENCY_DECREE,200.00,2005-07-20,,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: provisional post-2548 open-ended,TEST_SEED,2026-07-13,TEST seed — start after martial period
E-002,ปัตตานี,,yes,EMERGENCY_DECREE,200.00,2005-07-20,,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: provisional post-2548 open-ended,TEST_SEED,2026-07-13,TEST seed — start after martial period
E-003,นราธิวาส,,yes,EMERGENCY_DECREE,200.00,2005-07-20,,TEST_SEED: development placeholder (not HR-confirmed),TEST_SEED: provisional post-2548 open-ended,TEST_SEED,2026-07-13,TEST seed — start after martial period
